day,description,lang
1,書面語（粵語讀音）,SWC
2,新詩（粵語讀音）,New Poetry
3,書面語（粵語讀音）,SWC
4,白話文（含口語字）,Cantonese
5,書面語（粵語讀音）,SWC
6,白話文（含口語字）,Cantonese
7,書面語（粵語讀音）,SWC
8,古詩詞（1900年前寫作）,Classical
9,書面語（粵語讀音） 更正（以紅色標示）,SWC
10,新詩（粵語讀音）,New Poetry
11,白話文（含口語字）,Cantonese
12,書面語（粵語讀音）建議先解拆標點符號表達方式,SWC
13,書面語（粵語讀音）,SWC
14,古詩詞（1900年前寫作）,Classical
15,書面語（粵語讀音）,SWC
16,白話文,Cantonese
17,書面語（粵語讀音）,SWC
18,白話文,Cantonese
19,新詩（節錄）,New Poetry
20,專欄文章 | 書面語（粵語讀音）,SWC
21,百科全書文章 | 書面語（粵語讀音）,SWC
22,網路文章 | 白話文,Cantonese
23,網絡小說 | 書面語（粵語讀音）,SWC
24,五言絕句 | 古詩詞（1900年前寫作）,Classical
25,小說 | 書面語（粵語讀音）,SWC
26,小說 | 白話文,Cantonese
27,新詩（節錄）,New Poetry
28,教學指南 | 書面語（粵語讀音）,SWC
29,網頁內容 | 白話文,Cantonese
30,百科全書 | 白話文,Cantonese
31,古詩詞（1900年前寫作）,Classical
32,五言絕句全首 | 古詩詞（公元1900年前寫作）,Classical
